initial_trust_mean,mobility,ddem_size,share_trusting,avg_final_trust,std_final_trust,avg_ddem_occupancy,avg_refused_interactions
0.7,1,0,0.95,0.9804,0.06251911707629916,0.0,0.0
0.7,1,5,0.0,0.0,0.0,4.757333333333333,25267.8
0.7,1,10,0.0,0.0,0.0,8.530833333333334,29943.45
0.7,1,15,0.0,0.0,0.0,10.768433333333332,32307.1
0.7,2,0,1.0,0.9964999999999998,0.0017496031296014268,0.0,0.0
0.7,2,5,0.0,0.0,0.0,4.991600000000001,35508.3
0.7,2,10,0.0,0.0,0.0,9.810366666666667,31051.3
0.7,2,15,0.0,0.0,0.0,14.076166666666666,32775.9
0.7,5,0,1.0,0.9981999999999998,0.0012666666666666668,0.0,0.0
0.7,5,5,1.0,0.9897666666666666,0.00441852162304694,5.0,68105.5
0.7,5,10,0.9,0.9169333333333333,0.21516003346346646,10.0,77684.0
0.7,5,15,0.75,0.8177333333333333,0.3075199288935055,15.0,79913.1
0.7,10,0,1.0,0.9984999999999997,0.0009860132971832528,0.0,0.0
0.7,10,5,1.0,0.9961999999999998,0.0017900962109463473,5.0,50542.45
0.7,10,10,1.0,0.9944,0.0019821424996424794,10.0,58430.2
0.7,10,15,1.0,0.9922333333333333,0.00224375677033953,15.0,62563.1
